Timestamps are UTC timezone,https://www.CryptoDataDownload.com
date,symbol,open,high,low,close,volume_btc,volume
2019-10-13 12-PM,BTCUSD,8369.97,8449,8367.28,8415.43,265.67,2233979.28
2019-10-13 11-AM,BTCUSD,8342.71,8398.18,8341.53,8369.97,148.02,1239379.62
2019-10-13 10-AM,BTCUSD,8348.16,8360,8342.7,8342.71,18.41,153710.84
2019-10-13 09-AM,BTCUSD,8350.2,8362.37,8333.55,8348.16,39.27,327827.65
2019-10-13 08-AM,BTCUSD,8333.45,8358.87,8328.01,8350.2,26.21,218568.33
2019-10-13 07-AM,BTCUSD,8316.55,8349.6,8313.17,8333.45,32.5,270777.08
2019-10-13 06-AM,BTCUSD,8334.2,8334.2,8308.5,8316.55,241.99,2013145.99
2019-10-13 05-AM,BTCUSD,8343.65,8343.65,8319.67,8334.2,110.36,918876.26
2019-10-13 04-AM,BTCUSD,8344.95,8360,8340,8343.65,90.5,755492.3
2019-10-13 03-AM,BTCUSD,8343.49,8347.5,8332.46,8344.95,81.57,680417.0
2019-10-13 02-AM,BTCUSD,8350.48,8360,8335,8343.49,71.27,594885.53
2019-10-13 01-AM,BTCUSD,8335.72,8368.26,8332.42,8350.48,163.5,1366317.42
2019-10-13 12-AM,BTCUSD,8309.03,8348.64,8289,8335.72,286.1,2377376.76
2019-10-12 11-PM,BTCUSD,8334.49,8342.83,8305.51,8309.03,110.87,922965.01
2019-10-12 10-PM,BTCUSD,8340,8350,8332.53,8334.49,114.0,951145.39
2019-10-12 09-PM,BTCUSD,8346.35,8346.91,8323.65,8340,155.58,1296655.44
2019-10-12 08-PM,BTCUSD,8316,8349.99,8315.99,8346.35,94.6,788236.44
2019-10-12 07-PM,BTCUSD,8318.01,8332.98,8296.45,8316,177.99,1480010.1
2019-10-12 06-PM,BTCUSD,8332.09,8339.65,8292.56,8318.01,179.3,1491364.24
2019-10-12 05-PM,BTCUSD,8342.96,8355.77,8330.84,8332.09,120.56,1005861.6
2019-10-12 04-PM,BTCUSD,8387.63,8407,8336.31,8342.96,174.52,1459097.29
2019-10-12 03-PM,BTCUSD,8396.05,8405,8366.09,8387.63,175.43,1470740.73
2019-10-12 02-PM,BTCUSD,8339.88,8425,8317.65,8396.05,407.08,3404305.55
2019-10-12 01-PM,BTCUSD,8347.86,8350,8325.91,8339.88,117.32,978246.92
2019-10-12 12-PM,BTCUSD,8327.5,8349.85,8319.01,8347.86,66.16,551145.89
2019-10-12 11-AM,BTCUSD,8322.08,8348,8312.01,8327.5,130.47,1086382.66
2019-10-12 10-AM,BTCUSD,8350.64,8350.64,8301.5,8322.08,65.71,546527.12
2019-10-12 09-AM,BTCUSD,8355.44,8375.05,8350.63,8350.64,60.5,505799.74
2019-10-12 08-AM,BTCUSD,8348.24,8356.04,8338.71,8355.44,29.03,242286.01
2019-10-12 07-AM,BTCUSD,8352.12,8357.01,8336.37,8348.24,51.48,429694.88
2019-10-12 06-AM,BTCUSD,8344.26,8364,8343.51,8352.12,85.95,717923.54
2019-10-12 05-AM,BTCUSD,8325.08,8363.11,8320.3,8344.26,123.01,1026786.54
2019-10-12 04-AM,BTCUSD,8317.39,8336.89,8315.31,8325.08,66.94,557534.86
2019-10-12 03-AM,BTCUSD,8309.92,8327.25,8305.25,8317.39,87.43,726931.01
2019-10-12 02-AM,BTCUSD,8315.96,8334.73,8307.15,8309.92,93.99,781986.92
2019-10-12 01-AM,BTCUSD,8281.57,8332,8270.53,8315.96,103.5,859644.35
2019-10-12 12-AM,BTCUSD,8267.33,8313.92,8261.46,8281.57,210.11,1742312.68
2019-10-11 11-PM,BTCUSD,8320.03,8324,8226,8267.33,405.74,3359185.11
2019-10-11 10-PM,BTCUSD,8323.14,8349.98,8320,8320.03,139.93,1166471.4
2019-10-11 09-PM,BTCUSD,8341.96,8343.52,8305,8323.14,404.79,3368667.82
2019-10-11 08-PM,BTCUSD,8349.99,8370,8328.31,8341.96,224.17,1871121.37
2019-10-11 07-PM,BTCUSD,8320.33,8350,8316,8349.99,150.67,1255554.96
2019-10-11 06-PM,BTCUSD,8339.02,8355.69,8307.56,8320.33,238.58,1987684.56
2019-10-11 05-PM,BTCUSD,8345.71,8370.97,8330,8339.02,290.05,2421318.43
2019-10-11 04-PM,BTCUSD,8351.99,8355.01,8287.1,8345.71,715.29,5949076.09
2019-10-11 03-PM,BTCUSD,8322.77,8354.99,8296.5,8351.99,339.31,2827678.83
2019-10-11 02-PM,BTCUSD,8354.01,8354.01,8294.46,8322.77,608.11,5061126.03
2019-10-11 01-PM,BTCUSD,8345,8364.8,8333.33,8354.01,239.0,1995007.59
2019-10-11 12-PM,BTCUSD,8310,8359.86,8284.82,8345,338.77,2823104.92
2019-10-11 11-AM,BTCUSD,8372.22,8374.96,8286,8310,547.26,4555309.98
2019-10-11 10-AM,BTCUSD,8351.23,8383,8350.07,8372.22,249.29,2085811.93
2019-10-11 09-AM,BTCUSD,8362.22,8383,8347,8351.23,213.89,1789025.43
